Timestamp,Gender,Age group,Profession,Average screen time on daily basis (phone or laptop),Average time spent on social media on daily basis,What's your most used social media platform?,Your content-format preference while using Instagram,Your content-format preference while using Youtube,What kind of content do you prefer?,Do you feel that consuming short-form content has reduced your ability to focus on longer tasks or content? ,  How long can you stay focused on a task without getting distracted?  ,Do you find it difficult to focus on longer videos or read articles after consuming short-form content?,Do you feel addicted to these platforms and short-length contents?,How do you feel after spending time watching short-form videos?,Have you ever tried to reduce the time spent on short-form videos?,Has it affected your productivity in terms of work and life?
2025-01-14 20:46:55.374,Male,20-30,Employed,8+ hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Lifestyle, Fitness",Yes,> 30 mins,Maybe,Yes,Neutral,Yes and i was successful,No
2025-01-15 11:51:23.740,Male,30-40,Employed,"6-8 hours, 8+ hours",< 2 hours,Youtube,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,> 30 mins,Maybe,Yes,"Relaxed, Guilty, Entertained",Yes and i was successful,Sometimes
2025-01-14 23:04:32.484,Female,20-30,Employed,8+ hours,4-6hours,Instagram,Instagram stories,Videos (< 10mins),"Lifestyle, Fitness",Maybe,> 30 mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-15 15:13:03.468,Female,30-40,Employed,8+ hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,> 30 mins,Maybe,Sometimes,Entertained,Yes and i was unsuccessful,Sometimes
2025-01-14 23:02:18.321,Female,<20,Student,4-6 hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes
2025-01-16 20:13:37.773,Male,40-50,Employed,8+ hours,< 2 hours,Youtube,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Sometimes,Entertained,Yes and i was unsuccessful,Sometimes
2025-01-14 21:22:47.171,Male,20-30,Employed,4-6 hours,2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",No,10-30mins,No,Yes,Relaxed,Yes and i was successful,Sometimes
2025-01-15 17:00:43.930,Male,40-50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Yes,Relaxed,Yes and i was successful,Sometimes
2025-01-14 20:49:30.746,Male,<20,Student,8+ hours,6-8 hours,Youtube,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Yes,< 5mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes
2025-01-15 18:38:59.306,Female,20-30,Employed,8+ hours,< 2 hours,Instagram,Instagram stories,"Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",No,> 30 mins,No,No,"Relaxed, Neutral","No, I dont want to",No
2025-01-14 19:51:33.177,Male,40-50,Unemployed,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",No,> 30 mins,No,No,Neutral,"No, I dont want to",No
2025-01-16 07:18:49.913,Male,20-30,Employed,4-6 hours,4-6hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),Educational,Yes,"10-30mins, > 30 mins",Yes,Yes,"Guilty, Entertained, Neutral","No, I dont want to",Sometimes
2025-01-15 02:36:59.137,Male,20-30,Employed,4-6 hours,< 2 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Yes,Yes,"Entertained, Neutral",Yes and i was unsuccessful,Sometimes
2025-01-14 20:42:40.376,Male,20-30,Employed,"6-8 hours, 8+ hours",2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Lifestyle, Fitness",Maybe,10-30mins,Maybe,Yes,"Entertained, Neutral",Yes and i was successful,Sometimes
2025-01-15 17:00:43.930,Male,40-50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Yes,Relaxed,Yes and i was successful,Sometimes
2025-01-14 21:20:25.402,Female,<20,Student,4-6 hours,2-4 hours,Youtube,Reels (under 20 seconds),"Shorts, Videos (< 10mins)","Latest trends, challenges etc",Maybe,10-30mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes
2025-01-14 20:41:57.150,Male,20-30,Employed,6-8 hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,5-10 mins,Maybe,Sometimes,Guilty,Yes and i was unsuccessful,"Yes, Sometimes"
2025-01-14 20:32:11.037,Female,20-30,Student,2-4hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Lifestyle, Fitness",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Sometimes
2025-01-15 15:32:00.783,Male,30-40,Employed,8+ hours,< 2 hours,Instagram,Instagram stories,Longer videos (podcasts etc),"Lifestyle, Fitness",No,5-10 mins,Yes,Sometimes,Neutral,Yes and i was successful,Yes
2025-01-14 22:26:40.008,Male,20-30,Student,"4-6 hours, 6-8 hours",< 2 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Maybe,5-10 mins,Yes,Sometimes,Entertained,Yes and i was successful,No
2025-01-14 19:37:36.473,Male,<20,Student,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Entertained,Yes and i was unsuccessful,Yes
2025-01-14 20:32:11.037,Female,20-30,Student,2-4hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Lifestyle, Fitness",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Sometimes
2025-01-14 22:59:32.096,Female,20-30,Employed,8+ hours,2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-15 12:32:54.841,Female,40-50,Unemployed,< 2hours,< 2 hours,Youtube,Reels (under 20 seconds),Longer videos (podcasts etc),Educational,Maybe,10-30mins,Yes,No,Neutral,"No, I dont want to",Sometimes
2025-01-14 23:02:18.321,Female,<20,Student,4-6 hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes
2025-01-14 18:30:18.729,Female,20-30,Unemployed,6-8 hours,4-6hours,Instagram,Reels (under 20 seconds),"Shorts, Videos (< 10mins)","Latest trends, challenges etc",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes
2025-01-14 23:39:38.988,Female,20-30,Student,4-6 hours,4-6hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Lifestyle, Fitness",Yes,10-30mins,Maybe,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes
2025-01-15 12:08:20.874,Male,40-50,Employed,8+ hours,2-4 hours,Youtube,Reels (under 20 seconds),Videos (< 10mins),"Latest trends, challenges etc",Maybe,5-10 mins,Maybe,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-14 23:04:32.484,Female,20-30,Employed,8+ hours,4-6hours,Instagram,Instagram stories,Videos (< 10mins),"Lifestyle, Fitness",Maybe,> 30 mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-15 02:36:59.137,Male,20-30,Employed,4-6 hours,< 2 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Yes,Yes,"Entertained, Neutral",Yes and i was unsuccessful,Sometimes
2025-01-14 20:31:54.981,Male,20-30,Employed,8+ hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),"Latest trends, challenges etc",No,> 30 mins,No,No,Entertained,Yes and i was successful,No
2025-01-15 09:35:59.793,Male,>50,Employed,8+ hours,8+ hours,Tiktok,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-14 20:43:48.087,Male,20-30,Employed,8+ hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-14 21:22:59.701,Male,20-30,Student,4-6 hours,< 2 hours,Instagram,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,> 30 mins,No,No,Relaxed,Yes and i was successful,Yes
2025-01-14 23:17:02.888,Female,20-30,Student,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,< 5mins,"No, Maybe",Sometimes,Guilty,Yes and i was successful,Sometimes
2025-01-15 12:18:01.580,Male,>50,Freelancing,< 2hours,< 2 hours,Youtube,Reels (under 20 seconds),Shorts,"Lifestyle, Fitness",No,< 5mins,No,No,Entertained,Yes and i was successful,No
2025-01-15 15:32:00.783,Male,30-40,Employed,8+ hours,< 2 hours,Instagram,Instagram stories,Longer videos (podcasts etc),"Lifestyle, Fitness",No,5-10 mins,Yes,Sometimes,Neutral,Yes and i was successful,Yes
2025-01-14 19:33:40.864,Male,20-30,Student,4-6 hours,< 2 hours,Youtube,"Reels (under 20 seconds), Instagram stories",Longer videos (podcasts etc),Educational,No,> 30 mins,Maybe,No,"Guilty, Entertained",Yes and i was successful,No
2025-01-14 19:37:36.473,Male,<20,Student,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Entertained,Yes and i was unsuccessful,Yes
2025-01-15 13:03:53.398,Male,40-50,Employed,8+ hours,2-4 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Yes,> 30 mins,No,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-15 19:18:00.899,Male,>50,Employed,4-6 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Yes,5-10 mins,Yes,Yes,Neutral,Yes and i was successful,No
2025-01-14 20:47:31.260,Male,20-30,Employed,8+ hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,< 5mins,Yes,Sometimes,Neutral,"No, I dont want to","No, Sometimes"
2025-01-15 20:34:18.300,Male,>50,Employed,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,< 5mins,Maybe,Sometimes,Neutral,Yes and i was successful,Yes
2025-01-15 17:00:43.930,Male,40-50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Yes,Relaxed,Yes and i was successful,Sometimes
2025-01-14 20:41:57.150,Male,20-30,Employed,6-8 hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,5-10 mins,Maybe,Sometimes,Guilty,Yes and i was unsuccessful,"Yes, Sometimes"
2025-01-14 21:22:59.701,Male,20-30,Student,4-6 hours,< 2 hours,Instagram,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,> 30 mins,No,No,Relaxed,Yes and i was successful,Yes
2025-01-14 21:10:56.936,Male,20-30,Student,4-6 hours,< 2 hours,Instagram,Reels (under 20 seconds),"Shorts, Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",No,> 30 mins,Yes,Yes,Neutral,"No, I dont want to",No
2025-01-14 21:14:17.915,Male,20-30,Employed,8+ hours,2-4 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)",Longer videos (podcasts etc),"Entertainment, Comedy",Yes,10-30mins,Yes,Sometimes,Entertained,Yes and i was unsuccessful,Sometimes
2025-01-14 20:46:30.070,Male,20-30,"Employed, Freelancing",2-4hours,2-4 hours,Youtube,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,> 30 mins,No,"Yes, Sometimes","Relaxed, Guilty",Yes and i was successful,No
2025-01-14 21:22:59.701,Male,20-30,Student,4-6 hours,< 2 hours,Instagram,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,> 30 mins,No,No,Relaxed,Yes and i was successful,Yes
2025-01-15 19:18:00.899,Male,>50,Employed,4-6 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Yes,5-10 mins,Yes,Yes,Neutral,Yes and i was successful,No
2025-01-14 22:59:47.246,"Male, Female",<20,Student,4-6 hours,2-4 hours,Instagram,Longer videos (>30 seconds),Videos (< 10mins),"Lifestyle, Fitness",Yes,10-30mins,Yes,Yes,"Guilty, Entertained",Yes and i was successful,"Yes, Sometimes"
2025-01-14 22:35:11.746,Female,20-30,Employed,8+ hours,2-4 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)",Longer videos (podcasts etc),"Latest trends, challenges etc",Maybe,> 30 mins,Maybe,Yes,"Relaxed, Neutral",Yes and i was successful,Sometimes
2025-01-15 20:29:36.852,Male,40-50,Employed,8+ hours,< 2 hours,Facebook,"Longer videos (>30 seconds), Reels (under 20 seconds)",Shorts,"Lifestyle, Fitness",Yes,5-10 mins,Maybe,Sometimes,Entertained,Yes and i was successful,Sometimes
2025-01-14 20:24:56.467,Female,20-30,Employed,4-6 hours,2-4 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds), Instagram stories",Videos (< 10mins),"Entertainment, Comedy",Yes,10-30mins,Yes,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes
2025-01-15 18:18:16.165,Male,30-40,Employed,2-4hours,< 2 hours,Instagram,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Yes,10-30mins,Yes,Yes,Entertained,Yes and i was successful,Sometimes
2025-01-14 23:18:27.945,Male,40-50,"Student, Employed",8+ hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Yes,> 30 mins,No,Sometimes,Entertained,Yes and i was successful,No
2025-01-15 16:42:13.249,Male,>50,Employed,2-4hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Lifestyle, Fitness",Maybe,10-30mins,No,Sometimes,Relaxed,Yes and i was successful,Sometimes
2025-01-16 08:38:34.648,Female,20-30,Employed,8+ hours,2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories",Longer videos (podcasts etc),"Entertainment, Comedy",No,> 30 mins,No,Sometimes,Entertained,Yes and i was successful,Sometimes
2025-01-15 20:12:09.415,Male,40-50,Employed,8+ hours,< 2 hours,Facebook,Reels (under 20 seconds),Shorts,Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-15 20:12:09.415,Male,40-50,Employed,8+ hours,< 2 hours,Facebook,Reels (under 20 seconds),Shorts,Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-15 20:34:18.300,Male,>50,Employed,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,< 5mins,Maybe,Sometimes,Neutral,Yes and i was successful,Yes
2025-01-15 19:47:23.567,Female,40-50,Employed,8+ hours,< 2 hours,Facebook,Reels (under 20 seconds),Longer videos (podcasts etc),"Latest trends, challenges etc",No,10-30mins,No,No,Entertained,"No, I dont want to",Yes
2025-01-15 05:46:08.432,Male,20-30,Employed,2-4hours,< 2 hours,Instagram,Reels (under 20 seconds),"Shorts, Videos (< 10mins)","Entertainment, Comedy",Yes,> 30 mins,Yes,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-15 20:02:42.211,Male,>50,Employed,8+ hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Yes,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-14 23:10:24.130,Male,<20,Student,2-4hours,2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories",Shorts,"Entertainment, Comedy",Maybe,> 30 mins,No,Sometimes,"Relaxed, Guilty, Entertained",Yes and i was successful,"No, Sometimes"
2025-01-15 15:12:13.603,Female,30-40,Employed,8+ hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",No,> 30 mins,No,No,Neutral,Yes and i was successful,No
2025-01-15 17:00:43.930,Male,40-50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Yes,Relaxed,Yes and i was successful,Sometimes
2025-01-14 20:42:40.376,Male,20-30,Employed,"6-8 hours, 8+ hours",2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Lifestyle, Fitness",Maybe,10-30mins,Maybe,Yes,"Entertained, Neutral",Yes and i was successful,Sometimes
2025-01-16 13:34:43.782,Female,40-50,Freelancing,< 2hours,2-4 hours,Facebook,Reels (under 20 seconds),Videos (< 10mins),"Lifestyle, Fitness",Maybe,> 30 mins,No,No,Neutral,Yes and i was successful,No
2025-01-15 18:54:45.762,Male,30-40,Employed,8+ hours,< 2 hours,Youtube,Reels (under 20 seconds),Videos (< 10mins),Educational,No,5-10 mins,No,No,Entertained,"No, I dont want to",No
2025-01-15 16:53:43.009,Male,40-50,Employed,< 2hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),Educational,No,> 30 mins,Yes,No,Neutral,"No, I dont want to",No
2025-01-15 21:18:54.756,Male,40-50,Employed,< 2hours,< 2 hours,Facebook,Reels (under 20 seconds),Videos (< 10mins),Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,No
2025-01-14 20:24:56.467,Female,20-30,Employed,4-6 hours,2-4 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds), Instagram stories",Videos (< 10mins),"Entertainment, Comedy",Yes,10-30mins,Yes,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes
2025-01-15 17:29:03.788,Male,20-30,Employed,8+ hours,< 2 hours,Youtube,Longer videos (>30 seconds),"Videos (< 10mins), Longer videos (podcasts etc)",Educational,No,> 30 mins,Maybe,Sometimes,Guilty,Yes and i was successful,Yes
2025-01-14 22:49:29.517,Female,20-30,"Employed, Freelancing",6-8 hours,4-6hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Lifestyle, Fitness",Yes,5-10 mins,Maybe,Sometimes,"Entertained, Neutral",Yes and i was unsuccessful,Yes
2025-01-16 09:40:49.860,Male,20-30,Employed,4-6 hours,2-4 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-15 02:36:59.137,Male,20-30,Employed,4-6 hours,< 2 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Yes,Yes,"Entertained, Neutral",Yes and i was unsuccessful,Sometimes
2025-01-14 21:56:22.770,Female,20-30,Student,"6-8 hours, 8+ hours",4-6hours,Instagram,Reels (under 20 seconds),"Shorts, Videos (< 10mins)","Entertainment, Comedy",Yes,"5-10 mins, 10-30mins",Yes,Yes,Relaxed,Yes and i was unsuccessful,Yes
2025-01-15 18:38:59.306,Female,20-30,Employed,8+ hours,< 2 hours,Instagram,Instagram stories,"Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",No,> 30 mins,No,No,"Relaxed, Neutral","No, I dont want to",No
2025-01-15 20:22:38.115,Male,40-50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Shorts,"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Relaxed,Yes and i was successful,No
2025-01-15 09:35:59.793,Male,>50,Employed,8+ hours,8+ hours,Tiktok,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-15 17:29:03.788,Male,20-30,Employed,8+ hours,< 2 hours,Youtube,Longer videos (>30 seconds),"Videos (< 10mins), Longer videos (podcasts etc)",Educational,No,> 30 mins,Maybe,Sometimes,Guilty,Yes and i was successful,Yes
2025-01-15 09:16:40.424,Male,20-30,Employed,6-8 hours,2-4 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds), Instagram stories",Longer videos (podcasts etc),,No,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,No
2025-01-15 02:36:59.137,Male,20-30,Employed,4-6 hours,< 2 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Yes,Yes,"Entertained, Neutral",Yes and i was unsuccessful,Sometimes
2025-01-14 22:59:32.096,Female,20-30,Employed,8+ hours,2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-14 19:51:33.177,Male,40-50,Unemployed,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",No,> 30 mins,No,No,Neutral,"No, I dont want to",No
2025-01-14 19:37:36.473,Male,<20,Student,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Entertained,Yes and i was unsuccessful,Yes
2025-01-15 13:07:26.197,Female,20-30,Student,2-4hours,< 2 hours,Instagram,Reels (under 20 seconds),Longer videos (podcasts etc),"Entertainment, Comedy",Maybe,> 30 mins,Yes,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-14 21:22:59.701,Male,20-30,Student,4-6 hours,< 2 hours,Instagram,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,> 30 mins,No,No,Relaxed,Yes and i was successful,Yes
2025-01-15 21:13:59.290,Male,40-50,Employed,4-6 hours,4-6hours,Facebook,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",Maybe,5-10 mins,No,No,Neutral,Yes and i was successful,No
2025-01-15 20:20:06.575,Male,40-50,Employed,8+ hours,< 2 hours,Facebook,"Longer videos (>30 seconds), Reels (under 20 seconds)",Longer videos (podcasts etc),"Entertainment, Comedy",Yes,"10-30mins, > 30 mins",Maybe,Yes,Guilty,Yes and i was unsuccessful,Sometimes
2025-01-15 15:32:00.783,Male,30-40,Employed,8+ hours,< 2 hours,Instagram,Instagram stories,Longer videos (podcasts etc),"Lifestyle, Fitness",No,5-10 mins,Yes,Sometimes,Neutral,Yes and i was successful,Yes
2025-01-15 15:16:18.236,Male,40-50,Employed,6-8 hours,< 2 hours,Facebook,Reels (under 20 seconds),"Videos (< 10mins), Longer videos (podcasts etc)","Latest trends, challenges etc",Yes,"5-10 mins, 10-30mins",Maybe,Yes,Entertained,Yes and i was successful,Sometimes
2025-01-15 13:07:26.197,Female,20-30,Student,2-4hours,< 2 hours,Instagram,Reels (under 20 seconds),Longer videos (podcasts etc),"Entertainment, Comedy",Maybe,> 30 mins,Yes,Sometimes,Neutral,Yes and i was successful,Sometimes
2025-01-14 23:39:38.988,Female,20-30,Student,4-6 hours,4-6hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Lifestyle, Fitness",Yes,10-30mins,Maybe,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes
2025-01-15 20:22:38.115,Male,40-50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Shorts,"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Relaxed,Yes and i was successful,No
2025-01-14 23:01:29.976,Female,20-30,Student,4-6 hours,4-6hours,Instagram,Reels (under 20 seconds),Longer videos (podcasts etc),"Latest trends, challenges etc",Yes,10-30mins,No,No,Neutral,Yes and i was successful,No
2025-01-15 19:21:02.636,Male,>50,Employed,2-4hours,2-4 hours,Facebook,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",Maybe,5-10 mins,Yes,Yes,Relaxed,Yes and i was successful,Yes
2025-01-15 12:05:59.200,Male,>50,Employed,< 2hours,< 2 hours,Youtube,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,< 5mins,Maybe,Sometimes,Relaxed,"No, I dont want to",Yes
2025-01-14 20:33:44.313,"Female, Prefer not to say",20-30,Employed,6-8 hours,4-6hours,Instagram,Reels (under 20 seconds),"Shorts, Videos (< 10mins)","Entertainment, Comedy",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes
2025-01-14 21:24:39.642,Male,20-30,Employed,6-8 hours,2-4 hours,Youtube,Reels (under 20 seconds),Longer videos (podcasts etc),"Entertainment, Comedy",Maybe,5-10 mins,No,Sometimes,Neutral,"No, I dont want to",Sometimes
2025-01-14 20:29:54.033,Male,<20,Student,< 2hours,< 2 hours,Youtube,"Longer videos (>30 seconds), Instagram stories",Videos (< 10mins),"Entertainment, Comedy",No,5-10 mins,No,No,Neutral,"No, I dont want to",Sometimes
2025-01-14 21:20:51.722,Female,20-30,Employed,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),"Videos (< 10mins), Longer videos (podcasts etc)","Lifestyle, Fitness","No, Maybe",10-30mins,No,Yes,Neutral,"No, I dont want to","Yes, Sometimes"
2025-01-15 21:18:54.756,Male,40-50,Employed,< 2hours,< 2 hours,Facebook,Reels (under 20 seconds),Videos (< 10mins),Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,Yes and i was successful,No
2025-01-14 23:39:38.988,Female,20-30,Student,4-6 hours,4-6hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Lifestyle, Fitness",Yes,10-30mins,Maybe,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes
2025-01-14 19:37:36.473,Male,<20,Student,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Entertained,Yes and i was unsuccessful,Yes
2025-01-14 21:04:22.144,Male,20-30,Freelancing,4-6 hours,2-4 hours,Instagram,Reels (under 20 seconds),Longer videos (podcasts etc),"Lifestyle, Fitness",Yes,10-30mins,Maybe,Sometimes,Neutral,Yes and i was successful,Yes
2025-01-15 18:04:43.174,Male,30-40,Employed,8+ hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Latest trends, challenges etc",Maybe,5-10 mins,Maybe,No,Neutral,Yes and i was successful,No
2025-01-15 18:12:52.575,Male,40-50,Employed,8+ hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Maybe,10-30mins,Yes,Yes,Neutral,Yes and i was unsuccessful,Sometimes
2025-01-15 20:15:52.700,Male,>50,Employed,2-4hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),Educational,Maybe,< 5mins,Yes,Yes,Neutral,Yes and i was successful,No
2025-01-15 02:36:59.137,Male,20-30,Employed,4-6 hours,< 2 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins), Longer videos (podcasts etc)","Entertainment, Comedy",Yes,10-30mins,Yes,Yes,"Entertained, Neutral",Yes and i was unsuccessful,Sometimes
